A monkey liked a dog that burned a plant .	monkey ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod ( x _ 4 , x _ 6 ) AND burn . agent ( x _ 6 , x _ 4 ) AND burn . theme ( x _ 6 , x _ 8 ) AND plant ( x _ 8 )	like ( agent = monkey , theme = dog ( nmod = burn ( agent = dog , theme = plant ) ) )	
Noah rolled a cake that a researcher liked .	roll . agent ( x _ 1 , Noah ) AND roll . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 7 ) AND researcher ( x _ 6 ) AND like . agent ( x _ 7 , x _ 6 ) AND like . theme ( x _ 7 , x _ 3 )	roll ( agent = Noah , theme = cake ( nmod = like ( agent = researcher , theme = cake ) ) )	
Emma painted the boy that danced .	* boy ( x _ 3 ) ; paint . agent ( x _ 1 , Emma ) AND paint . theme ( x _ 1 , x _ 3 ) AND boy . nmod ( x _ 3 , x _ 5 ) AND dance . agent ( x _ 5 , x _ 3 )	paint ( agent = Emma , theme = * boy ( nmod = dance ( agent = * boy ) ) )	
Noah valued the lion that a girl rolled .	* lion ( x _ 3 ) ; value . agent ( x _ 1 , Noah ) AND value . theme ( x _ 1 , x _ 3 ) AND lion . nmod ( x _ 3 , x _ 7 ) AND girl ( x _ 6 ) AND roll . agent ( x _ 7 , x _ 6 ) AND roll . theme ( x _ 7 , x _ 3 )	value ( agent = Noah , theme = * lion ( nmod = roll ( agent = girl , theme = * lion ) ) )	
Emma slid a cake that the bear stabbed .	* bear ( x _ 6 ) ; slide . agent ( x _ 1 , Emma ) AND slide . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 7 ) AND stab . agent ( x _ 7 , x _ 6 ) AND stab . theme ( x _ 7 , x _ 3 )	slide ( agent = Emma , theme = cake ( nmod = stab ( agent = * bear , theme = cake ) ) )	
A dog doubled the girl that walked .	* girl ( x _ 4 ) ; dog ( x _ 1 ) AND double . agent ( x _ 2 , x _ 1 ) AND double . theme ( x _ 2 , x _ 4 ) AND girl . nmod ( x _ 4 , x _ 6 ) AND walk . agent ( x _ 6 , x _ 4 )	double ( agent = dog , theme = * girl ( nmod = walk ( agent = * girl ) ) )	
Olivia cleaned the girl that intended to sneeze .	* girl ( x _ 3 ) ; clean . agent ( x _ 1 , Olivia ) AND clean . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND intend . agent ( x _ 5 , x _ 3 ) AND intend . xcomp ( x _ 5 , x _ 7 ) AND sneeze . agent ( x _ 7 , x _ 3 )	clean ( agent = Olivia , theme = * girl ( nmod = intend ( agent = * girl , xcomp = sneeze ( agent = * girl ) ) ) )	
The mother liked a rose that Noah froze .	* mother ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND rose ( x _ 4 ) AND rose . nmod ( x _ 4 , x _ 7 ) AND freeze . agent ( x _ 7 , Noah ) AND freeze . theme ( x _ 7 , x _ 4 )	like ( agent = * mother , theme = rose ( nmod = freeze ( agent = Noah , theme = rose ) ) )	
Penelope rolled the pumpkin that was eaten .	* pumpkin ( x _ 3 ) ; roll . agent ( x _ 1 , Penelope ) AND roll . theme ( x _ 1 , x _ 3 ) AND pumpkin . nmod ( x _ 3 , x _ 6 ) AND eat . theme ( x _ 6 , x _ 3 )	roll ( agent = Penelope , theme = * pumpkin ( nmod = eat ( theme = * pumpkin ) ) )	
Violet liked the box that the child rented Emma .	* box ( x _ 3 ) ; * child ( x _ 6 ) ; like . agent ( x _ 1 , Violet ) AND like . theme ( x _ 1 , x _ 3 ) AND box . nmod ( x _ 3 , x _ 7 ) AND rent . agent ( x _ 7 , x _ 6 ) AND rent . recipient ( x _ 7 , Emma ) AND rent . theme ( x _ 7 , x _ 3 )	like ( agent = Violet , theme = * box ( nmod = rent ( agent = * child , recipient = Emma , theme = * box ) ) )	
A girl slid a donut that was liked .	girl ( x _ 1 ) AND slide . agent ( x _ 2 , x _ 1 ) AND slide . theme ( x _ 2 , x _ 4 ) AND donut ( x _ 4 ) AND donut . nmod ( x _ 4 , x _ 7 ) AND like . theme ( x _ 7 , x _ 4 )	slide ( agent = girl , theme = donut ( nmod = like ( theme = donut ) ) )	
David slipped the girl a donut that Liam rolled .	* girl ( x _ 3 ) ; slip . agent ( x _ 1 , David ) AND slip . recipient ( x _ 1 , x _ 3 ) AND slip . theme ( x _ 1 , x _ 5 ) AND donut ( x _ 5 ) AND donut . nmod ( x _ 5 , x _ 8 ) AND roll . agent ( x _ 8 , Liam ) AND roll . theme ( x _ 8 , x _ 5 )	slip ( agent = David , recipient = * girl , theme = donut ( nmod = roll ( agent = Liam , theme = donut ) ) )	
The girl noticed the toy that was given to Mia by Charlotte .	* girl ( x _ 1 ) ; * toy ( x _ 4 ) ; notice . agent ( x _ 2 , x _ 1 ) AND notice . theme ( x _ 2 , x _ 4 ) AND toy . nmod ( x _ 4 , x _ 7 ) AND give . theme ( x _ 7 , x _ 4 ) AND give . recipient ( x _ 7 , Mia ) AND give . agent ( x _ 7 , Charlotte )	notice ( agent = * girl , theme = * toy ( nmod = give ( theme = * toy , recipient = Mia , agent = Charlotte ) ) )	
The baby floated a researcher that sold Sebastian the cake .	* baby ( x _ 1 ) ; * cake ( x _ 9 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND researcher ( x _ 4 ) AND researcher . nmod ( x _ 4 , x _ 6 ) AND sell . agent ( x _ 6 , x _ 4 ) AND sell . recipient ( x _ 6 , Sebastian ) AND sell . theme ( x _ 6 , x _ 9 )	float ( agent = * baby , theme = researcher ( nmod = sell ( agent = researcher , recipient = Sebastian , theme = * cake ) ) )	
Olivia threw a boy that liked that the student drew the raisin .	* student ( x _ 8 ) ; * raisin ( x _ 11 ) ; throw . agent ( x _ 1 , Olivia ) AND throw . theme ( x _ 1 , x _ 3 ) AND boy ( x _ 3 ) AND boy . nmod ( x _ 3 , x _ 5 ) AND like . agent ( x _ 5 , x _ 3 ) AND like . ccomp ( x _ 5 , x _ 9 ) AND draw . agent ( x _ 9 , x _ 8 ) AND draw . theme ( x _ 9 , x _ 11 )	throw ( agent = Olivia , theme = boy ( nmod = like ( agent = boy , ccomp = draw ( agent = * student , theme = * raisin ) ) ) )	
A cat painted a cake that a goose gave to William .	cat ( x _ 1 ) AND paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 8 ) AND goose ( x _ 7 ) AND give . agent ( x _ 8 , x _ 7 ) AND give . recipient ( x _ 8 , William ) AND give . theme ( x _ 8 , x _ 4 )	paint ( agent = cat , theme = cake ( nmod = give ( agent = goose , recipient = William , theme = cake ) ) )	
Olivia sold Noah the cookie that was rented to a boy by a girl .	* cookie ( x _ 4 ) ; sell . agent ( x _ 1 , Olivia ) AND sell . recipient ( x _ 1 , Noah ) AND sell . theme ( x _ 1 , x _ 4 ) AND cookie . nmod ( x _ 4 , x _ 7 ) AND rent . theme ( x _ 7 , x _ 4 ) AND rent . recipient ( x _ 7 , x _ 10 ) AND rent . agent ( x _ 7 , x _ 13 ) AND boy ( x _ 10 ) AND girl ( x _ 13 )	sell ( agent = Olivia , recipient = Noah , theme = * cookie ( nmod = rent ( theme = * cookie , recipient = boy , agent = girl ) ) )	
Emma rolled the girl that confessed that William said that a lion saw .	* girl ( x _ 3 ) ; roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND confess . agent ( x _ 5 , x _ 3 ) AND confess . ccomp ( x _ 5 , x _ 8 ) AND say . agent ( x _ 8 , William ) AND say . ccomp ( x _ 8 , x _ 12 ) AND lion ( x _ 11 ) AND see . agent ( x _ 12 , x _ 11 )	roll ( agent = Emma , theme = * girl ( nmod = confess ( agent = * girl , ccomp = say ( agent = William , ccomp = see ( agent = lion ) ) ) ) )	
Joseph noticed that Camila disintegrated a teacher that gave a girl a cake .	notice . agent ( x _ 1 , Joseph ) AND notice . ccomp ( x _ 1 , x _ 4 ) AND disintegrate . agent ( x _ 4 , Camila ) AND disintegrate . theme ( x _ 4 , x _ 6 ) AND teacher ( x _ 6 ) AND teacher . nmod ( x _ 6 , x _ 8 ) AND give . agent ( x _ 8 , x _ 6 ) AND give . recipient ( x _ 8 , x _ 10 ) AND give . theme ( x _ 8 , x _ 12 ) AND girl ( x _ 10 ) AND cake ( x _ 12 )	notice ( agent = Joseph , ccomp = disintegrate ( agent = Camila , theme = teacher ( nmod = give ( agent = teacher , recipient = girl , theme = cake ) ) ) )	
The girl froze Olivia that Asher poked .	* girl ( x _ 1 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , Olivia ) AND Olivia . nmod ( x _ 3 , x _ 6 ) AND poke . agent ( x _ 6 , Asher ) AND poke . theme ( x _ 6 , Olivia )	freeze ( agent = * girl , theme = Olivia ( nmod = poke ( agent = Asher , theme = Olivia ) ) )	
The girl floated the boy that Christopher ate .	* girl ( x _ 1 ) ; * boy ( x _ 4 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND boy . nmod ( x _ 4 , x _ 7 ) AND eat . agent ( x _ 7 , Christopher ) AND eat . theme ( x _ 7 , x _ 4 )	float ( agent = * girl , theme = * boy ( nmod = eat ( agent = Christopher , theme = * boy ) ) )	
The queen liked the box that was offered to the hen .	* queen ( x _ 1 ) ; * box ( x _ 4 ) ; * hen ( x _ 10 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND box . nmod ( x _ 4 , x _ 7 ) AND offer . theme ( x _ 7 , x _ 4 ) AND offer . recipient ( x _ 7 , x _ 10 )	like ( agent = * queen , theme = * box ( nmod = offer ( theme = * box , recipient = * hen ) ) )	
A monkey grew the cake that Liam ate .	* cake ( x _ 4 ) ; monkey ( x _ 1 ) AND grow . agent ( x _ 2 , x _ 1 ) AND grow . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND eat . agent ( x _ 7 , Liam ) AND eat . theme ( x _ 7 , x _ 4 )	grow ( agent = monkey , theme = * cake ( nmod = eat ( agent = Liam , theme = * cake ) ) )	
Liam gave a farmer the cookie that a girl lended to a lion .	* cookie ( x _ 5 ) ; give . agent ( x _ 1 , Liam ) AND give . recipient ( x _ 1 , x _ 3 ) AND give . theme ( x _ 1 , x _ 5 ) AND farmer ( x _ 3 ) AND cookie . nmod ( x _ 5 , x _ 9 ) AND girl ( x _ 8 ) AND lend . agent ( x _ 9 , x _ 8 ) AND lend . recipient ( x _ 9 , x _ 12 ) AND lend . theme ( x _ 9 , x _ 5 ) AND lion ( x _ 12 )	give ( agent = Liam , recipient = farmer , theme = * cookie ( nmod = lend ( agent = girl , recipient = lion , theme = * cookie ) ) )	
Liam helped the coin that Emma ate .	* coin ( x _ 3 ) ; help . agent ( x _ 1 , Liam ) AND help . theme ( x _ 1 , x _ 3 ) AND coin . nmod ( x _ 3 , x _ 6 ) AND eat . agent ( x _ 6 , Emma ) AND eat . theme ( x _ 6 , x _ 3 )	help ( agent = Liam , theme = * coin ( nmod = eat ( agent = Emma , theme = * coin ) ) )	
The lawyer forwarded a crocodile the donut that was frozen by the monkey .	* lawyer ( x _ 1 ) ; * donut ( x _ 6 ) ; * monkey ( x _ 12 ) ; forward . agent ( x _ 2 , x _ 1 ) AND forward . recipient ( x _ 2 , x _ 4 ) AND forward . theme ( x _ 2 , x _ 6 ) AND crocodile ( x _ 4 ) AND donut . nmod ( x _ 6 , x _ 9 ) AND freeze . theme ( x _ 9 , x _ 6 ) AND freeze . agent ( x _ 9 , x _ 12 )	forward ( agent = * lawyer , recipient = crocodile , theme = * donut ( nmod = freeze ( theme = * donut , agent = * monkey ) ) )	
The girl painted the cake that Emma rolled .	* girl ( x _ 1 ) ; * cake ( x _ 4 ) ; paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND cake . nmod ( x _ 4 , x _ 7 ) AND roll . agent ( x _ 7 , Emma ) AND roll . theme ( x _ 7 , x _ 4 )	paint ( agent = * girl , theme = * cake ( nmod = roll ( agent = Emma , theme = * cake ) ) )	
Emma rolled the girl that liked a cat .	* girl ( x _ 3 ) ; roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND like . agent ( x _ 5 , x _ 3 ) AND like . theme ( x _ 5 , x _ 7 ) AND cat ( x _ 7 )	roll ( agent = Emma , theme = * girl ( nmod = like ( agent = * girl , theme = cat ) ) )	
Liam gave Oliver a box that was frozen by a girl .	give . agent ( x _ 1 , Liam ) AND give . recipient ( x _ 1 , Oliver ) AND give . theme ( x _ 1 , x _ 4 ) AND box ( x _ 4 ) AND box . nmod ( x _ 4 , x _ 7 ) AND freeze . theme ( x _ 7 , x _ 4 ) AND freeze . agent ( x _ 7 , x _ 10 ) AND girl ( x _ 10 )	give ( agent = Liam , recipient = Oliver , theme = box ( nmod = freeze ( theme = box , agent = girl ) ) )	
A boy liked Emma that a cat shortened .	boy ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , Emma ) AND Emma . nmod ( x _ 3 , x _ 7 ) AND cat ( x _ 6 ) AND shorten . agent ( x _ 7 , x _ 6 ) AND shorten . theme ( x _ 7 , Emma )	like ( agent = boy , theme = Emma ( nmod = shorten ( agent = cat , theme = Emma ) ) )	
Emma liked the donut that Oliver appreciated .	* donut ( x _ 3 ) ; like . agent ( x _ 1 , Emma ) AND like . theme ( x _ 1 , x _ 3 ) AND donut . nmod ( x _ 3 , x _ 6 ) AND appreciate . agent ( x _ 6 , Oliver ) AND appreciate . theme ( x _ 6 , x _ 3 )	like ( agent = Emma , theme = * donut ( nmod = appreciate ( agent = Oliver , theme = * donut ) ) )	
Camila helped Emma that the girl respected .	* girl ( x _ 5 ) ; help . agent ( x _ 1 , Camila ) AND help . theme ( x _ 1 , Emma ) AND Emma . nmod ( x _ 2 , x _ 6 ) AND respect . agent ( x _ 6 , x _ 5 ) AND respect . theme ( x _ 6 , Emma )	help ( agent = Camila , theme = Emma ( nmod = respect ( agent = * girl , theme = Emma ) ) )	
Ava ate a crayon that was snapped by the boy .	* boy ( x _ 9 ) ; eat . agent ( x _ 1 , Ava ) AND eat . theme ( x _ 1 , x _ 3 ) AND crayon ( x _ 3 ) AND crayon . nmod ( x _ 3 , x _ 6 ) AND snap . theme ( x _ 6 , x _ 3 ) AND snap . agent ( x _ 6 , x _ 9 )	eat ( agent = Ava , theme = crayon ( nmod = snap ( theme = crayon , agent = * boy ) ) )	
Sophia drew the girl that tolerated that the raisin was admired by Ava .	* girl ( x _ 3 ) ; * raisin ( x _ 8 ) ; draw . agent ( x _ 1 , Sophia ) AND draw . theme ( x _ 1 , x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND tolerate . agent ( x _ 5 , x _ 3 ) AND tolerate . ccomp ( x _ 5 , x _ 10 ) AND admire . theme ( x _ 10 , x _ 8 ) AND admire . agent ( x _ 10 , Ava )	draw ( agent = Sophia , theme = * girl ( nmod = tolerate ( agent = * girl , ccomp = admire ( theme = * raisin , agent = Ava ) ) ) )	
Emma ate the cake that William found .	* cake ( x _ 3 ) ; eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND find . agent ( x _ 6 , William ) AND find . theme ( x _ 6 , x _ 3 )	eat ( agent = Emma , theme = * cake ( nmod = find ( agent = William , theme = * cake ) ) )	
The bear heard a balloon that a girl burned .	* bear ( x _ 1 ) ; hear . agent ( x _ 2 , x _ 1 ) AND hear . theme ( x _ 2 , x _ 4 ) AND balloon ( x _ 4 ) AND balloon . nmod ( x _ 4 , x _ 8 ) AND girl ( x _ 7 ) AND burn . agent ( x _ 8 , x _ 7 ) AND burn . theme ( x _ 8 , x _ 4 )	hear ( agent = * bear , theme = balloon ( nmod = burn ( agent = girl , theme = balloon ) ) )	
Logan tolerated that the customer helped the cake that Liam rolled .	* customer ( x _ 4 ) ; * cake ( x _ 7 ) ; tolerate . agent ( x _ 1 , Logan ) AND tolerate . ccomp ( x _ 1 , x _ 5 ) AND help . agent ( x _ 5 , x _ 4 ) AND help . theme ( x _ 5 , x _ 7 ) AND cake . nmod ( x _ 7 , x _ 10 ) AND roll . agent ( x _ 10 , Liam ) AND roll . theme ( x _ 10 , x _ 7 )	tolerate ( agent = Logan , ccomp = help ( agent = * customer , theme = * cake ( nmod = roll ( agent = Liam , theme = * cake ) ) ) )	
Emma offered a cake that was given to Liam to Alexander .	offer . agent ( x _ 1 , Emma ) AND offer . theme ( x _ 1 , x _ 3 ) AND offer . recipient ( x _ 1 , Alexander ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND give . theme ( x _ 6 , x _ 3 ) AND give . recipient ( x _ 6 , Liam )	offer ( agent = Emma , theme = cake ( nmod = give ( theme = cake , recipient = Liam ) ) , recipient = Alexander )	
Emma ate a cat that heard .	eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND cat ( x _ 3 ) AND cat . nmod ( x _ 3 , x _ 5 ) AND hear . agent ( x _ 5 , x _ 3 )	eat ( agent = Emma , theme = cat ( nmod = hear ( agent = cat ) ) )	
The girl froze a bird that the teacher heard .	* girl ( x _ 1 ) ; * teacher ( x _ 7 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND bird ( x _ 4 ) AND bird . nmod ( x _ 4 , x _ 8 ) AND hear . agent ( x _ 8 , x _ 7 ) AND hear . theme ( x _ 8 , x _ 4 )	freeze ( agent = * girl , theme = bird ( nmod = hear ( agent = * teacher , theme = bird ) ) )	
A prince hunted a baby that Oliver broke .	prince ( x _ 1 ) AND hunt . agent ( x _ 2 , x _ 1 ) AND hunt . theme ( x _ 2 , x _ 4 ) AND baby ( x _ 4 ) AND baby . nmod ( x _ 4 , x _ 7 ) AND break . agent ( x _ 7 , Oliver ) AND break . theme ( x _ 7 , x _ 4 )	hunt ( agent = prince , theme = baby ( nmod = break ( agent = Oliver , theme = baby ) ) )	
Noah wished that Emma ate a plate that the cat liked .	* cat ( x _ 9 ) ; wish . agent ( x _ 1 , Noah ) AND wish . ccomp ( x _ 1 , x _ 4 ) AND eat . agent ( x _ 4 , Emma ) AND eat . theme ( x _ 4 , x _ 6 ) AND plate ( x _ 6 ) AND plate . nmod ( x _ 6 , x _ 10 ) AND like . agent ( x _ 10 , x _ 9 ) AND like . theme ( x _ 10 , x _ 6 )	wish ( agent = Noah , ccomp = eat ( agent = Emma , theme = plate ( nmod = like ( agent = * cat , theme = plate ) ) ) )	
Emma rolled a rose that Sebastian lended to John .	roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND rose ( x _ 3 ) AND rose . nmod ( x _ 3 , x _ 6 ) AND lend . agent ( x _ 6 , Sebastian ) AND lend . recipient ( x _ 6 , John ) AND lend . theme ( x _ 6 , x _ 3 )	roll ( agent = Emma , theme = rose ( nmod = lend ( agent = Sebastian , recipient = John , theme = rose ) ) )	
Emma liked a girl that lended the cookie to a cow .	* cookie ( x _ 7 ) ; like . agent ( x _ 1 , Emma ) AND like . theme ( x _ 1 , x _ 3 ) AND girl ( x _ 3 ) AND girl . nmod ( x _ 3 , x _ 5 ) AND lend . agent ( x _ 5 , x _ 3 ) AND lend . theme ( x _ 5 , x _ 7 ) AND lend . recipient ( x _ 5 , x _ 10 ) AND cow ( x _ 10 )	like ( agent = Emma , theme = girl ( nmod = lend ( agent = girl , theme = * cookie , recipient = cow ) ) )	
A teacher liked that Henry ate the boy that the girl rolled .	* boy ( x _ 7 ) ; * girl ( x _ 10 ) ; teacher ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND eat . agent ( x _ 5 , Henry ) AND eat . theme ( x _ 5 , x _ 7 ) AND boy . nmod ( x _ 7 , x _ 11 ) AND roll . agent ( x _ 11 , x _ 10 ) AND roll . theme ( x _ 11 , x _ 7 )	like ( agent = teacher , ccomp = eat ( agent = Henry , theme = * boy ( nmod = roll ( agent = * girl , theme = * boy ) ) ) )	
Daniel fed the donut that the monkey ate to a girl .	* donut ( x _ 3 ) ; * monkey ( x _ 6 ) ; feed . agent ( x _ 1 , Daniel ) AND feed . theme ( x _ 1 , x _ 3 ) AND feed . recipient ( x _ 1 , x _ 10 ) AND donut . nmod ( x _ 3 , x _ 7 ) AND eat . agent ( x _ 7 , x _ 6 ) AND eat . theme ( x _ 7 , x _ 3 ) AND girl ( x _ 10 )	feed ( agent = Daniel , theme = * donut ( nmod = eat ( agent = * monkey , theme = * donut ) ) , recipient = girl )	
The boy painted a box that was loved .	* boy ( x _ 1 ) ; paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , x _ 4 ) AND box ( x _ 4 ) AND box . nmod ( x _ 4 , x _ 7 ) AND love . theme ( x _ 7 , x _ 4 )	paint ( agent = * boy , theme = box ( nmod = love ( theme = box ) ) )	
A judge brought a mandarin that was painted by Emma to Sofia .	judge ( x _ 1 ) AND bring . agent ( x _ 2 , x _ 1 ) AND bring . theme ( x _ 2 , x _ 4 ) AND bring . recipient ( x _ 2 , Sofia ) AND mandarin ( x _ 4 ) AND mandarin . nmod ( x _ 4 , x _ 7 ) AND paint . theme ( x _ 7 , x _ 4 ) AND paint . agent ( x _ 7 , Emma )	bring ( agent = judge , theme = mandarin ( nmod = paint ( theme = mandarin , agent = Emma ) ) , recipient = Sofia )	
Liam ate the key that Emma knew .	* key ( x _ 3 ) ; eat . agent ( x _ 1 , Liam ) AND eat . theme ( x _ 1 , x _ 3 ) AND key . nmod ( x _ 3 , x _ 6 ) AND know . agent ( x _ 6 , Emma ) AND know . theme ( x _ 6 , x _ 3 )	eat ( agent = Liam , theme = * key ( nmod = know ( agent = Emma , theme = * key ) ) )	
Emma rolled the lion that a girl juggled .	* lion ( x _ 3 ) ; roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND lion . nmod ( x _ 3 , x _ 7 ) AND girl ( x _ 6 ) AND juggle . agent ( x _ 7 , x _ 6 ) AND juggle . theme ( x _ 7 , x _ 3 )	roll ( agent = Emma , theme = * lion ( nmod = juggle ( agent = girl , theme = * lion ) ) )	
Olivia investigated a pig that ate a drink .	investigate . agent ( x _ 1 , Olivia ) AND investigate . theme ( x _ 1 , x _ 3 ) AND pig ( x _ 3 ) AND pig . nmod ( x _ 3 , x _ 5 ) AND eat . agent ( x _ 5 , x _ 3 ) AND eat . theme ( x _ 5 , x _ 7 ) AND drink ( x _ 7 )	investigate ( agent = Olivia , theme = pig ( nmod = eat ( agent = pig , theme = drink ) ) )	
Emma helped the jar that was mailed to a mouse .	* jar ( x _ 3 ) ; help . agent ( x _ 1 , Emma ) AND help . theme ( x _ 1 , x _ 3 ) AND jar . nmod ( x _ 3 , x _ 6 ) AND mail . theme ( x _ 6 , x _ 3 ) AND mail . recipient ( x _ 6 , x _ 9 ) AND mouse ( x _ 9 )	help ( agent = Emma , theme = * jar ( nmod = mail ( theme = * jar , recipient = mouse ) ) )	
David hoped that a duke discovered the cake that Ava brought Mia .	* cake ( x _ 7 ) ; hope . agent ( x _ 1 , David ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND duke ( x _ 4 ) AND discover . agent ( x _ 5 , x _ 4 ) AND discover . theme ( x _ 5 , x _ 7 ) AND cake . nmod ( x _ 7 , x _ 10 ) AND bring . agent ( x _ 10 , Ava ) AND bring . recipient ( x _ 10 , Mia ) AND bring . theme ( x _ 10 , x _ 7 )	hope ( agent = David , ccomp = discover ( agent = duke , theme = * cake ( nmod = bring ( agent = Ava , recipient = Mia , theme = * cake ) ) ) )	
Liam disintegrated the melon that Emma split .	* melon ( x _ 3 ) ; disintegrate . agent ( x _ 1 , Liam ) AND disintegrate . theme ( x _ 1 , x _ 3 ) AND melon . nmod ( x _ 3 , x _ 6 ) AND split . agent ( x _ 6 , Emma ) AND split . theme ( x _ 6 , x _ 3 )	disintegrate ( agent = Liam , theme = * melon ( nmod = split ( agent = Emma , theme = * melon ) ) )	
Olivia fed the raisin that was eaten by a girl to Isaac .	* raisin ( x _ 3 ) ; feed . agent ( x _ 1 , Olivia ) AND feed . theme ( x _ 1 , x _ 3 ) AND feed . recipient ( x _ 1 , Isaac ) AND raisin . nmod ( x _ 3 , x _ 6 ) AND eat . theme ( x _ 6 , x _ 3 ) AND eat . agent ( x _ 6 , x _ 9 ) AND girl ( x _ 9 )	feed ( agent = Olivia , theme = * raisin ( nmod = eat ( theme = * raisin , agent = girl ) ) , recipient = Isaac )	
Olivia liked a drink that the professor gave the donkey .	* professor ( x _ 6 ) ; * donkey ( x _ 9 ) ; like . agent ( x _ 1 , Olivia ) AND like . theme ( x _ 1 , x _ 3 ) AND drink ( x _ 3 ) AND drink . nmod ( x _ 3 , x _ 7 ) AND give . agent ( x _ 7 , x _ 6 ) AND give . recipient ( x _ 7 , x _ 9 ) AND give . theme ( x _ 7 , x _ 3 )	like ( agent = Olivia , theme = drink ( nmod = give ( agent = * professor , recipient = * donkey , theme = drink ) ) )	
Noah liked a cake that was lended to a girl by William .	like . agent ( x _ 1 , Noah ) AND like . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 6 ) AND lend . theme ( x _ 6 , x _ 3 ) AND lend . recipient ( x _ 6 , x _ 9 ) AND lend . agent ( x _ 6 , William ) AND girl ( x _ 9 )	like ( agent = Noah , theme = cake ( nmod = lend ( theme = cake , recipient = girl , agent = William ) ) )	
Mateo slipped Olivia a raisin that was cleaned .	slip . agent ( x _ 1 , Mateo ) AND slip . recipient ( x _ 1 , Olivia ) AND slip . theme ( x _ 1 , x _ 4 ) AND raisin ( x _ 4 ) AND raisin . nmod ( x _ 4 , x _ 7 ) AND clean . theme ( x _ 7 , x _ 4 )	slip ( agent = Mateo , recipient = Olivia , theme = raisin ( nmod = clean ( theme = raisin ) ) )	
Emma ate the radio that was liked .	* radio ( x _ 3 ) ; eat . agent ( x _ 1 , Emma ) AND eat . theme ( x _ 1 , x _ 3 ) AND radio . nmod ( x _ 3 , x _ 6 ) AND like . theme ( x _ 6 , x _ 3 )	eat ( agent = Emma , theme = * radio ( nmod = like ( theme = * radio ) ) )	
The girl helped a cake that rolled .	* girl ( x _ 1 ) ; help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod ( x _ 4 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 4 )	help ( agent = * girl , theme = cake ( nmod = roll ( theme = cake ) ) )	
Mason loved a cake that the girl sold to Emma .	* girl ( x _ 6 ) ; love . agent ( x _ 1 , Mason ) AND love . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod ( x _ 3 , x _ 7 ) AND sell . agent ( x _ 7 , x _ 6 ) AND sell . recipient ( x _ 7 , Emma ) AND sell . theme ( x _ 7 , x _ 3 )	love ( agent = Mason , theme = cake ( nmod = sell ( agent = * girl , recipient = Emma , theme = cake ) ) )	
